oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.41.04, CEST,sab 4 apr 2020, 23.41.10, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.41.10, CEST,sab 4 apr 2020, 23.41.17, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.41.17, CEST,sab 4 apr 2020, 23.41.24, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.41.24, CEST,sab 4 apr 2020, 23.41.30, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.41.30, CEST,sab 4 apr 2020, 23.41.37, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.41.37, CEST,sab 4 apr 2020, 23.41.43, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.41.43, CEST,sab 4 apr 2020, 23.41.50, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.41.50, CEST,sab 4 apr 2020, 23.41.58, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.41.58, CEST,sab 4 apr 2020, 23.42.05, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.42.05, CEST,sab 4 apr 2020, 23.42.11, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.42.11, CEST,sab 4 apr 2020, 23.42.18, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.42.18, CEST,sab 4 apr 2020, 23.42.25, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.42.25, CEST,sab 4 apr 2020, 23.42.32, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.42.32, CEST,sab 4 apr 2020, 23.42.40, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.42.40, CEST,sab 4 apr 2020, 23.42.47, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.42.47, CEST,sab 4 apr 2020, 23.42.54, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.42.54, CEST,sab 4 apr 2020, 23.43.01, CEST
