hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.12.04, CET,ven 13 mar 2020, 01.12.08, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.12.08, CET,ven 13 mar 2020, 01.12.11, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.12.11, CET,ven 13 mar 2020, 01.12.15, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.12.15, CET,ven 13 mar 2020, 01.12.18, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.12.18, CET,ven 13 mar 2020, 01.12.22, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.12.22, CET,ven 13 mar 2020, 01.12.25, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.12.25, CET,ven 13 mar 2020, 01.12.29, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.12.29, CET,ven 13 mar 2020, 01.12.33, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.12.33, CET,ven 13 mar 2020, 01.12.36, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.12.36, CET,ven 13 mar 2020, 01.12.40, CET
