oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.12.44, CEST,lun 13 apr 2020, 18.12.50, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.12.50, CEST,lun 13 apr 2020, 18.12.55, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.12.55, CEST,lun 13 apr 2020, 18.13.01, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.13.01, CEST,lun 13 apr 2020, 18.13.06, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.13.06, CEST,lun 13 apr 2020, 18.13.11, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.13.11, CEST,lun 13 apr 2020, 18.13.16, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.13.16, CEST,lun 13 apr 2020, 18.13.22, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.13.22, CEST,lun 13 apr 2020, 18.13.27, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.13.27, CEST,lun 13 apr 2020, 18.13.32, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.13.32, CEST,lun 13 apr 2020, 18.13.38, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.13.38, CEST,lun 13 apr 2020, 18.13.43, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.13.43, CEST,lun 13 apr 2020, 18.13.49, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.13.49, CEST,lun 13 apr 2020, 18.13.54, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.13.54, CEST,lun 13 apr 2020, 18.14.00, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.14.00, CEST,lun 13 apr 2020, 18.14.05, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.14.05, CEST,lun 13 apr 2020, 18.14.11, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.14.11, CEST,lun 13 apr 2020, 18.14.16, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.14.16, CEST,lun 13 apr 2020, 18.14.21, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.14.21, CEST,lun 13 apr 2020, 18.14.26, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.14.26, CEST,lun 13 apr 2020, 18.14.32, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.14.32, CEST,lun 13 apr 2020, 18.14.37, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.14.37, CEST,lun 13 apr 2020, 18.14.42, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.14.43, CEST,lun 13 apr 2020, 18.14.48, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.14.48, CEST,lun 13 apr 2020, 18.14.53, CEST
