oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.51, CET,ven 13 mar 2020, 02.57.53, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.53, CET,ven 13 mar 2020, 02.57.56, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.56, CET,ven 13 mar 2020, 02.57.58, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.58, CET,ven 13 mar 2020, 02.58.01, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.58.01, CET,ven 13 mar 2020, 02.58.03, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.58.03, CET,ven 13 mar 2020, 02.58.05, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.58.05, CET,ven 13 mar 2020, 02.58.08, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.58.08, CET,ven 13 mar 2020, 02.58.10, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.58.10, CET,ven 13 mar 2020, 02.58.13, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.58.13, CET,ven 13 mar 2020, 02.58.15, CET
