Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.45.55, CET,mar 10 mar 2020, 12.45.57, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.45.57, CET,mar 10 mar 2020, 12.45.59, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.45.59, CET,mar 10 mar 2020, 12.46.02, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.02, CET,mar 10 mar 2020, 12.46.04, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.04, CET,mar 10 mar 2020, 12.46.06, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.06, CET,mar 10 mar 2020, 12.46.09, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.09, CET,mar 10 mar 2020, 12.46.11, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.11, CET,mar 10 mar 2020, 12.46.13, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.13, CET,mar 10 mar 2020, 12.46.16, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.16, CET,mar 10 mar 2020, 12.46.18, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.18, CET,mar 10 mar 2020, 12.46.21, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.21, CET,mar 10 mar 2020, 12.46.23, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.23, CET,mar 10 mar 2020, 12.46.25, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.25, CET,mar 10 mar 2020, 12.46.27, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.27, CET,mar 10 mar 2020, 12.46.30, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.30, CET,mar 10 mar 2020, 12.46.32, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.32, CET,mar 10 mar 2020, 12.46.34, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.34, CET,mar 10 mar 2020, 12.46.37, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.37, CET,mar 10 mar 2020, 12.46.39, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.39, CET,mar 10 mar 2020, 12.46.41, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.41, CET,mar 10 mar 2020, 12.46.43, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.43, CET,mar 10 mar 2020, 12.46.46, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.46, CET,mar 10 mar 2020, 12.46.48, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.48, CET,mar 10 mar 2020, 12.46.51, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.51, CET,mar 10 mar 2020, 12.46.53, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.53, CET,mar 10 mar 2020, 12.46.55, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.55, CET,mar 10 mar 2020, 12.46.58, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.46.58, CET,mar 10 mar 2020, 12.47.00, CET
