ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.08.58, CET,lun 9 mar 2020, 12.09.00, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.09.00, CET,lun 9 mar 2020, 12.09.01, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.09.01, CET,lun 9 mar 2020, 12.09.03, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.09.03, CET,lun 9 mar 2020, 12.09.05, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.09.05, CET,lun 9 mar 2020, 12.09.07, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.09.07, CET,lun 9 mar 2020, 12.09.09, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.09.09, CET,lun 9 mar 2020, 12.09.10, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.09.10, CET,lun 9 mar 2020, 12.09.12, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.09.12, CET,lun 9 mar 2020, 12.09.14, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.09.14, CET,lun 9 mar 2020, 12.09.16, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.09.16, CET,lun 9 mar 2020, 12.09.18, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.09.18, CET,lun 9 mar 2020, 12.09.19, CET
