oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.32.04, CEST,gio 16 apr 2020, 01.32.10, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.32.10, CEST,gio 16 apr 2020, 01.32.15, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.32.15, CEST,gio 16 apr 2020, 01.32.20, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.32.20, CEST,gio 16 apr 2020, 01.32.26, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.32.26, CEST,gio 16 apr 2020, 01.32.31, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.32.31, CEST,gio 16 apr 2020, 01.32.36, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.32.36, CEST,gio 16 apr 2020, 01.32.41, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.32.41, CEST,gio 16 apr 2020, 01.32.47, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.32.47, CEST,gio 16 apr 2020, 01.32.52, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.32.52, CEST,gio 16 apr 2020, 01.32.57, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.32.57, CEST,gio 16 apr 2020, 01.33.02, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.33.02, CEST,gio 16 apr 2020, 01.33.08, CEST
