okhttp,https://github.com/1184893257/okhttp.git, dcb5dc52a18663429a63d8a4b135f8bcdfa9899c,, SpdyConnectionTest,serverClosesClientInputStream,test fail, gio 12 mar 2020, 04.38.16, CET,gio 12 mar 2020, 04.38.18, CET
okhttp,https://github.com/1184893257/okhttp.git, dcb5dc52a18663429a63d8a4b135f8bcdfa9899c,, SpdyConnectionTest,serverClosesClientInputStream,test fail, gio 12 mar 2020, 04.38.18, CET,gio 12 mar 2020, 04.38.20, CET
okhttp,https://github.com/1184893257/okhttp.git, dcb5dc52a18663429a63d8a4b135f8bcdfa9899c,, SpdyConnectionTest,serverClosesClientInputStream,test fail, gio 12 mar 2020, 04.38.20, CET,gio 12 mar 2020, 04.38.22, CET
okhttp,https://github.com/1184893257/okhttp.git, dcb5dc52a18663429a63d8a4b135f8bcdfa9899c,, SpdyConnectionTest,serverClosesClientInputStream,test fail, gio 12 mar 2020, 04.38.22, CET,gio 12 mar 2020, 04.38.24, CET
okhttp,https://github.com/1184893257/okhttp.git, dcb5dc52a18663429a63d8a4b135f8bcdfa9899c,, SpdyConnectionTest,serverClosesClientInputStream,test fail, gio 12 mar 2020, 04.38.24, CET,gio 12 mar 2020, 04.38.25, CET
okhttp,https://github.com/1184893257/okhttp.git, dcb5dc52a18663429a63d8a4b135f8bcdfa9899c,, SpdyConnectionTest,serverClosesClientInputStream,test fail, gio 12 mar 2020, 04.38.25, CET,gio 12 mar 2020, 04.38.27, CET
okhttp,https://github.com/1184893257/okhttp.git, dcb5dc52a18663429a63d8a4b135f8bcdfa9899c,, SpdyConnectionTest,serverClosesClientInputStream,test fail, gio 12 mar 2020, 04.38.27, CET,gio 12 mar 2020, 04.38.29, CET
okhttp,https://github.com/1184893257/okhttp.git, dcb5dc52a18663429a63d8a4b135f8bcdfa9899c,, SpdyConnectionTest,serverClosesClientInputStream,test fail, gio 12 mar 2020, 04.38.29, CET,gio 12 mar 2020, 04.38.31, CET
okhttp,https://github.com/1184893257/okhttp.git, dcb5dc52a18663429a63d8a4b135f8bcdfa9899c,, SpdyConnectionTest,serverClosesClientInputStream,test fail, gio 12 mar 2020, 04.38.31, CET,gio 12 mar 2020, 04.38.33, CET
okhttp,https://github.com/1184893257/okhttp.git, dcb5dc52a18663429a63d8a4b135f8bcdfa9899c,, SpdyConnectionTest,serverClosesClientInputStream,test fail, gio 12 mar 2020, 04.38.33, CET,gio 12 mar 2020, 04.38.35, CET
okhttp,https://github.com/1184893257/okhttp.git, dcb5dc52a18663429a63d8a4b135f8bcdfa9899c,, SpdyConnectionTest,serverClosesClientInputStream,test fail, gio 12 mar 2020, 04.38.35, CET,gio 12 mar 2020, 04.38.37, CET
okhttp,https://github.com/1184893257/okhttp.git, dcb5dc52a18663429a63d8a4b135f8bcdfa9899c,, SpdyConnectionTest,serverClosesClientInputStream,test fail, gio 12 mar 2020, 04.38.37, CET,gio 12 mar 2020, 04.38.38, CET
okhttp,https://github.com/1184893257/okhttp.git, dcb5dc52a18663429a63d8a4b135f8bcdfa9899c,, SpdyConnectionTest,serverClosesClientInputStream,test fail, gio 12 mar 2020, 04.38.38, CET,gio 12 mar 2020, 04.38.40, CET
okhttp,https://github.com/1184893257/okhttp.git, dcb5dc52a18663429a63d8a4b135f8bcdfa9899c,, SpdyConnectionTest,serverClosesClientInputStream,test fail, gio 12 mar 2020, 04.38.40, CET,gio 12 mar 2020, 04.38.42, CET
okhttp,https://github.com/1184893257/okhttp.git, dcb5dc52a18663429a63d8a4b135f8bcdfa9899c,, SpdyConnectionTest,serverClosesClientInputStream,test fail, gio 12 mar 2020, 04.38.42, CET,gio 12 mar 2020, 04.38.44, CET
okhttp,https://github.com/1184893257/okhttp.git, dcb5dc52a18663429a63d8a4b135f8bcdfa9899c,, SpdyConnectionTest,serverClosesClientInputStream,test fail, gio 12 mar 2020, 04.38.44, CET,gio 12 mar 2020, 04.38.45, CET
okhttp,https://github.com/1184893257/okhttp.git, dcb5dc52a18663429a63d8a4b135f8bcdfa9899c,, SpdyConnectionTest,serverClosesClientInputStream,test fail, gio 12 mar 2020, 04.38.45, CET,gio 12 mar 2020, 04.38.47, CET
