oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitFixedValues,test fail, mer 15 apr 2020, 20.56.15, CEST,mer 15 apr 2020, 20.56.20, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitFixedValues,test fail, mer 15 apr 2020, 20.56.20, CEST,mer 15 apr 2020, 20.56.26, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitFixedValues,test fail, mer 15 apr 2020, 20.56.26, CEST,mer 15 apr 2020, 20.56.31, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitFixedValues,test fail, mer 15 apr 2020, 20.56.31, CEST,mer 15 apr 2020, 20.56.36, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitFixedValues,test fail, mer 15 apr 2020, 20.56.36, CEST,mer 15 apr 2020, 20.56.42, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitFixedValues,test fail, mer 15 apr 2020, 20.56.42, CEST,mer 15 apr 2020, 20.56.47, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitFixedValues,test fail, mer 15 apr 2020, 20.56.47, CEST,mer 15 apr 2020, 20.56.53, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitFixedValues,test fail, mer 15 apr 2020, 20.56.53, CEST,mer 15 apr 2020, 20.56.58, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitFixedValues,test fail, mer 15 apr 2020, 20.56.58, CEST,mer 15 apr 2020, 20.57.04, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitFixedValues,test fail, mer 15 apr 2020, 20.57.04, CEST,mer 15 apr 2020, 20.57.09, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitFixedValues,test fail, mer 15 apr 2020, 20.57.09, CEST,mer 15 apr 2020, 20.57.15, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitFixedValues,test fail, mer 15 apr 2020, 20.57.15, CEST,mer 15 apr 2020, 20.57.20, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitFixedValues,test fail, mer 15 apr 2020, 20.57.20, CEST,mer 15 apr 2020, 20.57.25, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitFixedValues,test fail, mer 15 apr 2020, 20.57.25, CEST,mer 15 apr 2020, 20.57.30, CEST
