oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.25.55, CEST,mer 15 apr 2020, 19.26.02, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.26.02, CEST,mer 15 apr 2020, 19.26.07, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.26.07, CEST,mer 15 apr 2020, 19.26.13, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.26.13, CEST,mer 15 apr 2020, 19.26.19, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.26.19, CEST,mer 15 apr 2020, 19.26.25, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.26.25, CEST,mer 15 apr 2020, 19.26.31, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.26.31, CEST,mer 15 apr 2020, 19.26.37, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.26.37, CEST,mer 15 apr 2020, 19.26.43, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.26.43, CEST,mer 15 apr 2020, 19.26.49, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.26.49, CEST,mer 15 apr 2020, 19.26.54, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.26.54, CEST,mer 15 apr 2020, 19.27.00, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.27.00, CEST,mer 15 apr 2020, 19.27.06, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.27.06, CEST,mer 15 apr 2020, 19.27.12, CEST
