Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_insert,test fail, mar 10 mar 2020, 15.23.22, CET,mar 10 mar 2020, 15.23.24, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_insert,test fail, mar 10 mar 2020, 15.23.24, CET,mar 10 mar 2020, 15.23.27, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_insert,test fail, mar 10 mar 2020, 15.23.27, CET,mar 10 mar 2020, 15.23.29, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_insert,test fail, mar 10 mar 2020, 15.23.29, CET,mar 10 mar 2020, 15.23.31, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_insert,test fail, mar 10 mar 2020, 15.23.31, CET,mar 10 mar 2020, 15.23.34, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_insert,test fail, mar 10 mar 2020, 15.23.34, CET,mar 10 mar 2020, 15.23.36, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_insert,test fail, mar 10 mar 2020, 15.23.36, CET,mar 10 mar 2020, 15.23.38, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_insert,test fail, mar 10 mar 2020, 15.23.38, CET,mar 10 mar 2020, 15.23.41, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_insert,test fail, mar 10 mar 2020, 15.23.41, CET,mar 10 mar 2020, 15.23.43, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_insert,test fail, mar 10 mar 2020, 15.23.43, CET,mar 10 mar 2020, 15.23.45, CET
