Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.00, CET,mar 10 mar 2020, 18.00.03, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.03, CET,mar 10 mar 2020, 18.00.05, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.05, CET,mar 10 mar 2020, 18.00.08, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.08, CET,mar 10 mar 2020, 18.00.10, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.10, CET,mar 10 mar 2020, 18.00.12, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.12, CET,mar 10 mar 2020, 18.00.15, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.15, CET,mar 10 mar 2020, 18.00.17, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.17, CET,mar 10 mar 2020, 18.00.19, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.19, CET,mar 10 mar 2020, 18.00.22, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.22, CET,mar 10 mar 2020, 18.00.24, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.24, CET,mar 10 mar 2020, 18.00.27, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.27, CET,mar 10 mar 2020, 18.00.29, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.29, CET,mar 10 mar 2020, 18.00.31, CET
