oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.37.05, CEST,lun 13 apr 2020, 13.37.10, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.37.10, CEST,lun 13 apr 2020, 13.37.15, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.37.15, CEST,lun 13 apr 2020, 13.37.21, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.37.21, CEST,lun 13 apr 2020, 13.37.26, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.37.26, CEST,lun 13 apr 2020, 13.37.31, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.37.31, CEST,lun 13 apr 2020, 13.37.37, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.37.37, CEST,lun 13 apr 2020, 13.37.42, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.37.42, CEST,lun 13 apr 2020, 13.37.47, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.37.47, CEST,lun 13 apr 2020, 13.37.53, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.37.53, CEST,lun 13 apr 2020, 13.37.58, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.37.58, CEST,lun 13 apr 2020, 13.38.03, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.38.03, CEST,lun 13 apr 2020, 13.38.09, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.38.09, CEST,lun 13 apr 2020, 13.38.14, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.38.14, CEST,lun 13 apr 2020, 13.38.19, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.38.19, CEST,lun 13 apr 2020, 13.38.25, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.38.25, CEST,lun 13 apr 2020, 13.38.30, CEST
