wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.06.46, CET,lun 9 mar 2020, 21.06.48, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.06.48, CET,lun 9 mar 2020, 21.06.50, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.06.50, CET,lun 9 mar 2020, 21.06.51, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.06.51, CET,lun 9 mar 2020, 21.06.53, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.06.53, CET,lun 9 mar 2020, 21.06.55, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.06.55, CET,lun 9 mar 2020, 21.06.57, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.06.57, CET,lun 9 mar 2020, 21.06.59, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.06.59, CET,lun 9 mar 2020, 21.07.01, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.07.01, CET,lun 9 mar 2020, 21.07.02, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.07.02, CET,lun 9 mar 2020, 21.07.04, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.07.04, CET,lun 9 mar 2020, 21.07.06, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.07.06, CET,lun 9 mar 2020, 21.07.08, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.07.08, CET,lun 9 mar 2020, 21.07.10, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.07.10, CET,lun 9 mar 2020, 21.07.11, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.07.11, CET,lun 9 mar 2020, 21.07.13, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.07.13, CET,lun 9 mar 2020, 21.07.15, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.07.15, CET,lun 9 mar 2020, 21.07.17, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.07.17, CET,lun 9 mar 2020, 21.07.19, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.07.19, CET,lun 9 mar 2020, 21.07.20, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.07.20, CET,lun 9 mar 2020, 21.07.22, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.07.22, CET,lun 9 mar 2020, 21.07.24, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.07.24, CET,lun 9 mar 2020, 21.07.26, CET
