oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.39.35, CEST,lun 13 apr 2020, 16.39.40, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.39.40, CEST,lun 13 apr 2020, 16.39.46, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.39.46, CEST,lun 13 apr 2020, 16.39.51, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.39.51, CEST,lun 13 apr 2020, 16.39.56, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.39.56, CEST,lun 13 apr 2020, 16.40.02, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.40.02, CEST,lun 13 apr 2020, 16.40.07, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.40.07, CEST,lun 13 apr 2020, 16.40.12, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.40.12, CEST,lun 13 apr 2020, 16.40.18, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.40.18, CEST,lun 13 apr 2020, 16.40.23, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.40.23, CEST,lun 13 apr 2020, 16.40.28, CEST
